#Table 6
#UV, Optical (SDSS), and Near-IR Asymptotic Magnitudes
#Galaxy	FUV 0.153 mum (mag)	NUV 0.227 mum (mag)	u 0.354 mum (mag)	g 0.477 mum (mag)	r 0.623 mum (mag)	i 0.762 mum (mag)	z 0.913 mum (mag)	J 1.25 mum (mag)	H 1.65 mum (mag)	K_S 2.17 mum (mag)	
NGC 2841	13.527 +or- 0.019	13.014 +or- 0.010	11.229 +or- 0.003	9.696 +or- 0.001	8.953 +or- 0.001	8.515 +or- 0.001	8.269 +or- 0.001	7.910 +or- 0.001	7.687 +or- 0.001	7.934 +or- 0.001	
NGC 2976	13.227 +or- 0.003	12.707 +or- 0.003	11.464 +or- 0.002	10.293 +or- 0.001	9.749 +or- 0.002	9.471 +or- 0.001	9.293 +or- 0.002	9.163 +or- 0.002	9.046 +or- 0.002	9.312 +or- 0.003	
NGC 3049	 0. +or- 0. 	14.736 +or- 0.004	13.787 +or- 0.007	12.884 +or- 0.008	12.350 +or- 0.010	12.112 +or- 0.011	11.909 +or- 0.018	11.621 +or- 0.007	11.631 +or- 0.009	11.731 +or- 0.022	
NGC 3031	10.744 +or- 0.002	10.344 +or- 0.002	8.640 +or- 0.004	7.177 +or- 0.002	6.487 +or- 0.001	6.068 +or- 0.001	5.861 +or- 0.001	5.601 +or- 0.001	5.411 +or- 0.001	5.632 +or- 0.001	
NGC 3034	12.345 +or- 0.016	11.313 +or- 0.005	9.669 +or- 0.001	8.234 +or- 0.001	7.542 +or- 0.001	7.231 +or- 0.001	7.030 +or- 0.001	6.593 +or- 0.001	6.336 +or- 0.001	6.433 +or- 0.001	
NGC 3190	17.372 +or- 0.012	15.803 +or- 0.008	12.842 +or- 0.008	11.317 +or- 0.002	10.545 +or- 0.001	10.136 +or- 0.001	9.885 +or- 0.002	9.360 +or- 0.001	9.110 +or- 0.002	9.272 +or- 0.001	
NGC 3184	12.476 +or- 0.002	12.177 +or- 0.001	11.236 +or- 0.001	10.078 +or- 0.001	9.582 +or- 0.001	9.298 +or- 0.001	9.186 +or- 0.002	9.019 +or- 0.004	8.817 +or- 0.005	9.094 +or- 0.004	
NGC 3198	12.985 +or- 0.002	12.777 +or- 0.001	11.600 +or- 0.017	10.714 +or- 0.006	10.283 +or- 0.004	10.001 +or- 0.004	9.808 +or- 0.006	9.584 +or- 0.004	9.397 +or- 0.006	9.603 +or- 0.004	
NGC 3351	13.287 +or- 0.001	12.756 +or- 0.001	11.515 +or- 0.003	10.113 +or- 0.002	9.432 +or- 0.003	9.062 +or- 0.003	8.860 +or- 0.004	8.419 +or- 0.003	8.303 +or- 0.001	8.479 +or- 0.002	
NGC 3521	12.943 +or- 0.003	12.222 +or- 0.002	10.473 +or- 0.004	9.042 +or- 0.002	8.416 +or- 0.002	8.056 +or- 0.001	7.853 +or- 0.002	7.564 +or- 0.001	7.340 +or- 0.001	7.570 +or- 0.002	
NGC 3627	12.664 +or- 0.001	11.887 +or- 0.001	10.276 +or- 0.008	9.083 +or- 0.002	8.471 +or- 0.002	8.158 +or- 0.001	7.969 +or- 0.002	7.686 +or- 0.001	7.496 +or- 0.001	7.698 +or- 0.001	
NGC 3938	 0. +or- 0. 	12.512 +or- 0.002	11.476 +or- 0.005	10.538 +or- 0.002	10.113 +or- 0.003	9.840 +or- 0.003	9.741 +or- 0.003	9.500 +or- 0.003	9.534 +or- 0.008	9.627 +or- 0.010	
NGC 4125	 0. +or- 0. 	15.068 +or- 0.014	12.098 +or- 0.006	10.251 +or- 0.003	9.519 +or- 0.003	9.091 +or- 0.010	8.882 +or- 0.005	8.653 +or- 0.003	8.477 +or- 0.002	8.709 +or- 0.003	
NGC 4254	 0. +or- 0. 	11.935 +or- 0.002	10.952 +or- 0.001	9.954 +or- 0.001	9.466 +or- 0.001	9.204 +or- 0.001	9.105 +or- 0.001	8.760 +or- 0.004	8.634 +or- 0.008	8.779 +or- 0.006	
NGC 4321	 0. +or- 0. 	12.036 +or- 0.003	10.690 +or- 0.002	9.653 +or- 0.001	9.064 +or- 0.001	8.769 +or- 0.001	8.559 +or- 0.003	8.312 +or- 0.003	8.167 +or- 0.020	8.429 +or- 0.002	
NGC 4450	 0. +or- 0. 	14.519 +or- 0.008	11.822 +or- 0.011	10.465 +or- 0.002	9.722 +or- 0.002	9.338 +or- 0.001	 0. +or- 0. 	8.799 +or- 0.002	8.542 +or- 0.002	8.868 +or- 0.004	
NGC 4536	13.279 +or- 0.001	13.009 +or- 0.001	11.742 +or- 0.004	10.743 +or- 0.001	10.179 +or- 0.001	9.864 +or- 0.002	9.678 +or- 0.001	9.307 +or- 0.004	9.155 +or- 0.003	9.284 +or- 0.005	
NGC 4552	15.648 +or- 0.026	14.692 +or- 0.009	12.035 +or- 0.004	10.287 +or- 0.005	9.503 +or- 0.004	9.083 +or- 0.004	8.864 +or- 0.004	8.460 +or- 0.002	8.271 +or- 0.002	8.545 +or- 0.002	
NGC 4559	12.094 +or- 0.001	11.879 +or- 0.001	11.107 +or- 0.002	10.130 +or- 0.001	9.740 +or- 0.001	9.517 +or- 0.003	9.372 +or- 0.005	9.307 +or- 0.001	9.209 +or- 0.003	9.431 +or- 0.002	
NGC 4569	14.456 +or- 0.004	13.176 +or- 0.001	11.147 +or- 0.004	9.764 +or- 0.003	9.246 +or- 0.003	8.885 +or- 0.003	8.756 +or- 0.003	8.367 +or- 0.002	8.141 +or- 0.002	8.422 +or- 0.002	
NGC 4579	14.438 +or- 0.006	13.657 +or- 0.002	11.449 +or- 0.002	9.931 +or- 0.001	9.226 +or- 0.001	8.816 +or- 0.001	8.643 +or- 0.001	8.273 +or- 0.004	8.046 +or- 0.003	8.319 +or- 0.003	
NGC 4625	14.506 +or- 0.009	14.166 +or- 0.005	13.824 +or- 0.003	12.720 +or- 0.003	12.189 +or- 0.002	11.947 +or- 0.002	11.815 +or- 0.002	11.498 +or- 0.012	11.284 +or- 0.011	11.612 +or- 0.005	
NGC 4631	11.321 +or- 0.001	11.086 +or- 0.001	10.229 +or- 0.002	9.441 +or- 0.001	9.048 +or- 0.001	8.802 +or- 0.001	8.827 +or- 0.001	8.380 +or- 0.001	8.219 +or- 0.001	8.307 +or- 0.002	
NGC 4725	12.989 +or- 0.005	12.660 +or- 0.005	11.166 +or- 0.001	9.605 +or- 0.001	8.928 +or- 0.001	8.530 +or- 0.001	8.499 +or- 0.008	8.089 +or- 0.003	7.695 +or- 0.004	8.039 +or- 0.003	
NGC 4736	11.777 +or- 0.004	11.353 +or- 0.014	9.759 +or- 0.005	8.344 +or- 0.002	7.681 +or- 0.001	7.348 +or- 0.001	7.214 +or- 0.001	6.944 +or- 0.001	6.737 +or- 0.002	6.969 +or- 0.001	
NGC 4826	13.453 +or- 0.001	12.439 +or- 0.001	10.193 +or- 0.001	8.770 +or- 0.001	8.114 +or- 0.001	7.733 +or- 0.001	7.538 +or- 0.002	7.136 +or- 0.001	6.940 +or- 0.001	7.171 +or- 0.001	
NGC 5033	13.237 +or- 0.001	12.968 +or- 0.001	11.670 +or- 0.001	10.406 +or- 0.001	9.802 +or- 0.001	9.450 +or- 0.003	9.203 +or- 0.009	8.762 +or- 0.002	8.567 +or- 0.006	8.770 +or- 0.007	
NGC 5055	12.353 +or- 0.003	11.815 +or- 0.002	10.080 +or- 0.001	8.877 +or- 0.001	8.213 +or- 0.001	7.842 +or- 0.001	7.660 +or- 0.001	7.469 +or- 0.002	7.215 +or- 0.003	7.449 +or- 0.003	
NGC 5194	11.006 +or- 0.002	10.490 +or- 0.001	9.594 +or- 0.001	8.495 +or- 0.001	7.989 +or- 0.001	7.699 +or- 0.001	7.546 +or- 0.001	7.279 +or- 0.001	7.033 +or- 0.002	7.311 +or- 0.002	
NGC 5195	14.935 +or- 0.055	13.845 +or- 0.008	10.950 +or- 0.004	9.611 +or- 0.009	8.893 +or- 0.014	8.446 +or- 0.015	8.346 +or- 0.017	8.081 +or- 0.002	7.826 +or- 0.004	8.072 +or- 0.003	
NGC 5474	12.932 +or- 0.001	12.805 +or- 0.001	12.231 +or- 0.002	11.229 +or- 0.018	10.845 +or- 0.007	10.617 +or- 0.005	10.558 +or- 0.001	10.456 +or- 0.005	10.143 +or- 0.015	10.667 +or- 0.011	
NGC 5866	16.807 +or- 0.012	14.814 +or- 0.006	11.999 +or- 0.002	10.372 +or- 0.002	9.662 +or- 0.002	9.252 +or- 0.002	9.055 +or- 0.004	8.701 +or- 0.002	8.480 +or- 0.002	8.686 +or- 0.004	
#Notes. Asymptotic magnitudes in the UV, optical, and near-IR passbands for those SINGS galaxies with available SDSS data. All values are in AB magnitudes and are corrected for foreground galactic extinction. The quoted uncertainties are just the statitistical errors resulting from the fit applied to the growth curve, but do not include zero-point errors (see Section 4.1 for details).
