objID,ra,dec,type,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petror50_r,petror90_r
588015508197212201,3.63275,-0.737557,GALAXY,15.59,14.298,13.804,13.549,13.515,11.668,29.25
588015507662372973,8.341582,-1.121813,STAR,22.308,21.952,21.635,22.06,20.978,0.63,1.166
587731186208669747,10.866007,-0.124929,GALAXY,14.786,13.465,12.925,12.645,12.462,10.87,26.254
587731185672716368,12.99842,-0.486708,GALAXY,16.146,15.096,14.599,14.339,14.207,4.778,13.023
588015509812674591,14.703581,0.587256,GALAXY,15.572,14.184,13.652,13.36,13.378,9.56,20.463
587731514215563353,16.94352,1.063676,GALAXY,15.998,15.16,14.85,14.752,15.021,10.376,24.61
587731513680068761,19.994846,0.721736,GALAXY,24.635,25.018,24.42,24.362,21.621,0.453,0.77
587731512606326898,20.027262,-0.206061,STAR,24.635,24.151,24.802,22.727,22.777,-9999,-9999
588015510352101409,20.537431,0.945467,GALAXY,14.891,13.162,12.753,12.501,12.767,25.3,66.239
588015508741619729,20.807111,-0.385269,GALAXY,16.139,14.561,14.048,13.818,13.848,10.688,23.465
588015509815689440,21.621987,0.548751,GALAXY,21.431,23.819,21.786,21.829,20.762,0.73,1.273
587731512610127885,28.671011,-0.143342,GALAXY,16.212,14.283,13.448,13.027,12.806,6.852,21.471
587731512076271708,35.625162,-0.617311,STAR,24.395,24.209,22.878,24.362,21.578,0.608,1.101
588015507675217979,37.638107,-1.108412,GALAXY,14.995,13.028,12.106,11.599,11.338,9.185,28.534
587731513150996629,37.930696,0.293456,GALAXY,17.542,15.615,15.161,15.103,15.477,9.835,20.817
587731513688391835,39.098442,0.708578,GALAXY,16.699,15.143,14.477,14.122,13.995,9.287,20.872
588015509823619373,39.701608,0.520039,GALAXY,19.136,17.692,17.824,17.172,17.494,6.717,11.686
587731512078893078,41.605653,-0.499273,GALAXY,18.287,17.802,17.334,17.746,17.715,0.805,1.747
587731512079220798,42.42038,-0.523335,GALAXY,16.816,14.835,14.221,13.892,13.834,10.337,21.909
588015508750991493,42.219316,-0.351111,GALAXY,22.926,21.675,21.611,20.437,19.077,0.721,1.367
588015509289107638,45.166644,0.020409,STAR,24.635,24.52,23.504,21.721,21.479,0.422,0.754
588015508215431348,45.263684,-0.743466,GALAXY,17.584,15.925,15.549,15.375,15.899,8.972,18.14
588015508216086589,46.718416,-0.794484,GALAXY,15.408,13.235,12.413,11.96,11.698,7.854,25.419
587731512082169967,49.132665,-0.468139,GALAXY,16.49,14.77,14.1,13.694,13.496,10.797,27.983
587724242304041039,50.040339,-6.262004,GALAXY,14.807,13.416,12.87,12.56,12.437,9.936,22.54
587732701776969793,125.544512,3.268046,GALAXY,15.841,14.121,13.47,13.154,13.001,9.111,19.638
